127.0.0.1 - - [26/Dec/2023:10:34:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:34:10 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:34:20 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:34:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:34:30 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:34:36 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:34:37 +0900] "GET /myapp/mainList HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:34:50 +0900] "GET /myapp/mainList HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:38:08 +0900] "GET /myapp/detail?seq=18 HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:38:12 +0900] "GET /myapp/mainList HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:46:22 +0900] "GET /myapp/detail?seq=16 HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:46:24 +0900] "GET /myapp/mainList HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:46:26 +0900] "GET /myapp/detail?seq=17 HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:46:27 +0900] "GET /myapp/mainList HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:48:45 +0900] "GET /myapp/mainList HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:49:18 +0900] "GET /myapp/detail?seq=18 HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:50:28 +0900] "GET /myapp/mainList HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:50:30 +0900] "GET /myapp/detail?seq=18 HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:50:31 +0900] "GET /myapp/mainList HTTP/1.1" 200 8971
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:50:38 +0900] "GET /myapp/detail?seq=16 HTTP/1.1" 200 4030
0:0:0:0:0:0:0:1 - - [26/Dec/2023:10:50:40 +0900] "GET /myapp/mainList HTTP/1.1" 200 8971
