127.0.0.1 - - [10/Jan/2024:14:14:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:14:03 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:16:12 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:16:12 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:16:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:16:14 +0900] "GET /myapp/practice HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:18:37 +0900] "GET /myapp/practice HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:18:41 +0900] "GET /myapp/practice HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:18:42 +0900] "GET /myapp/practice HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:18:42 +0900] "GET /myapp/practice HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:18:47 +0900] "GET /myapp/practice HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:18:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:19:19 +0900] "GET /myapp/practice HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:19:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:19:59 +0900] "GET /myapp/practice HTTP/1.1" 200 1873
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:23:41 +0900] "GET /myapp/practice HTTP/1.1" 200 1279
